"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1873096458834198748","Sun Dec 29 02:23:45 +0000 2024","0","@garudadidada10 PPN 12% untuk meningkatkan kualitas layanan transportasi. #MakanBergiziBangunNegeri","1873193156688396523","","garudadidada10","in","","0","0","0","https://x.com/galar_rajasa/status/1873193156688396523","1711578720434282496","galar_rajasa"
"1873096324750655799","Sun Dec 29 02:22:43 +0000 2024","0","@garudadidada10 PPN 12% untuk mendanai program-program keberlanjutan. #MakanBergiziBangunNegeri","1873192897941783000","","garudadidada10","in","","0","0","0","https://x.com/raharja_frgntr/status/1873192897941783000","1709477576073424896","raharja_frgntr"
"1873096458834198748","Sun Dec 29 02:22:38 +0000 2024","0","@garudadidada10 PPN 12% akan mendukung pengembangan kota-kota di Indonesia. #MakanBergiziBangunNegeri","1873192875464507461","","garudadidada10","in","","0","0","0","https://x.com/Irma_lestari22/status/1873192875464507461","1699353207338868736","Irma_lestari22"
"1873192671130599690","Sun Dec 29 02:21:49 +0000 2024","0","Harganya naek gara2 ppn 12% sih","1873192671130599690","","","in","designer","0","0","0","https://x.com/sugcessful/status/1873192671130599690","1125613059244867585","sugcessful"
"1873192669989703790","Sun Dec 29 02:21:49 +0000 2024","0","Jokowi Ikut Tertuduh soal Kenaikan PPN 12 Persen Akui Harus Dukung Amanat dari Undang-Undang https://t.co/SUzYz96a5p #jokowi #ppn12persen #beritaterkini #undangundang","1873192669989703790","","","in","","0","0","0","https://x.com/TribunWow/status/1873192669989703790","803335130148286464","TribunWow"
"1873096458834198748","Sun Dec 29 02:21:22 +0000 2024","0","@garudadidada10 PPN 12% adalah langkah positif untuk memperbaiki kualitas hidup rakyat. #MakanBergiziBangunNegeri","1873192555179098475","","garudadidada10","in","","0","0","0","https://x.com/febi_maya6/status/1873192555179098475","1703696314993926144","febi_maya6"
"1873096458834198748","Sun Dec 29 02:21:11 +0000 2024","0","@garudadidada10 Dengan PPN 12% kita lebih siap untuk membangun sektor industri yang lebih bersih. #MakanBergiziBangunNegeri","1873192512518836368","","garudadidada10","in","","0","0","0","https://x.com/almi_riyanti/status/1873192512518836368","1711590086608031744","almi_riyanti"
"1873096458834198748","Sun Dec 29 02:21:08 +0000 2024","0","@garudadidada10 PPN 12% mendukung pemberdayaan masyarakat lokal. #MakanBergiziBangunNegeri","1873192499369664860","","garudadidada10","in","","0","0","0","https://x.com/fatan_fatoni4/status/1873192499369664860","1709040720173252608","fatan_fatoni4"
"1873096324750655799","Sun Dec 29 02:21:02 +0000 2024","0","@garudadidada10 Dengan PPN 12% kita dorong pertumbuhan ekonomi yang lebih berkelanjutan. #MakanBergiziBangunNegeri","1873192474593902700","","garudadidada10","in","","0","0","0","https://x.com/vira_safiqa/status/1873192474593902700","1699975950656806912","vira_safiqa"
"1873192442377502947","Sun Dec 29 02:20:55 +0000 2024","1","Mahasiswa Bersuara Tolak PPN 12 Persen https://t.co/YlMp944jB7 via @suaraislamID_","1873192442377502947","","","in","Jakarta Capital Region","0","0","0","https://x.com/suaraislamID_/status/1873192442377502947","1639872086457069573","suaraislamID_"
"1873096458834198748","Sun Dec 29 02:20:45 +0000 2024","0","@garudadidada10 PPN 12% memperkuat negara dalam menghadapi perubahan ekonomi global. #MakanBergiziBangunNegeri","1873192399796863148","","garudadidada10","in","","0","0","0","https://x.com/abram_manihuruk/status/1873192399796863148","1704028845513596928","abram_manihuruk"
"1873096458834198748","Sun Dec 29 02:20:33 +0000 2024","0","@garudadidada10 Dengan PPN 12% kita mempercepat pembangunan infrastruktur di seluruh Indonesia. #MakanBergiziBangunNegeri","1873192351453331907","","garudadidada10","in","","0","0","0","https://x.com/lukman_darmali/status/1873192351453331907","1699047620839362560","lukman_darmali"
"1873096458834198748","Sun Dec 29 02:19:56 +0000 2024","0","@garudadidada10 PPN 12% adalah langkah menuju pengelolaan negara yang lebih maju. #MakanBergiziBangunNegeri","1873192195064512874","","garudadidada10","in","","0","0","0","https://x.com/fiki_juni8/status/1873192195064512874","1708724410218414080","fiki_juni8"
"1873192122867970363","Sun Dec 29 02:19:38 +0000 2024","0","Kabinet gemuk inefisien. Koruptor disuruh tobat. Nggak mau ngeluarin Perpu PPN 12%.","1873192122867970363","","","in","","0","0","0","https://x.com/zacksuperstar/status/1873192122867970363","1390055649849929732","zacksuperstar"
"1873096458834198748","Sun Dec 29 02:19:21 +0000 2024","0","@garudadidada10 Dengan PPN 12% kita lebih siap untuk menghadapi tantangan ekonomi global. #MakanBergiziBangunNegeri","1873192050474270870","","garudadidada10","in","","0","0","0","https://x.com/dirga_jenaka35/status/1873192050474270870","1709043596626919425","dirga_jenaka35"
"1873096324750655799","Sun Dec 29 02:19:09 +0000 2024","0","@garudadidada10 Pembangunan lebih merata dengan kenaikan PPN 12%. #MakanBergiziBangunNegeri","1873191999513473336","","garudadidada10","in","","0","0","0","https://x.com/hartono_supriad/status/1873191999513473336","1704023412036018176","hartono_supriad"
"1873011774007513434","Sun Dec 29 02:13:26 +0000 2024","0","@detikcom Padahal dia bisa membatalkan PPN 12% Bekerja keras bukan berarti Bekerja Pintar ","1873190561240531120","","detikcom","in","center of Universe","0","0","0","https://x.com/johhhhnygudhel5/status/1873190561240531120","1671520015160426497","johhhhnygudhel5"
"1872931145421320670","Sun Dec 29 02:13:03 +0000 2024","0","@dhaniswara1996 @el_jastip @Ichavarma_ Ppn 12 juga dibebankan kastamer bjirrr 100% resto toko atau apalah yg gw beli itu ppn nya 12% ya dibebankan kastamer Mereka mah emang gak kesentuh pajak padahal keuntungan bersih gede","1873190463509020887","","dhaniswara1996","in","Solo","0","0","0","https://x.com/bagus_carito/status/1873190463509020887","1403993268","bagus_carito"
"1873096458834198748","Sun Dec 29 02:11:37 +0000 2024","0","@garudadidada10 Kenaikan PPN 12% untuk mendanai program sosial! #MakanBergiziBangunNegeri","1873190103650320472","","garudadidada10","in","","0","0","0","https://x.com/cager_tmpublon5/status/1873190103650320472","1701130553238626305","cager_tmpublon5"
"1873185920939127109","Sun Dec 29 02:11:34 +0000 2024","0","@detikcom Pantesan ppn dikebut 12 % ","1873190090429874181","","detikcom","in","Kota Semarang, Jawa Tengah","0","0","0","https://x.com/my_dear_na3_7mi/status/1873190090429874181","1589115623770329088","my_dear_na3_7mi"
"1873096324750655799","Sun Dec 29 02:10:49 +0000 2024","0","@garudadidada10 PPN 12% membuka peluang untuk peningkatan sektor perumahan rakyat. #MakanBergiziBangunNegeri","1873189903946924274","","garudadidada10","in","","0","0","0","https://x.com/pia_usamah/status/1873189903946924274","1710134007705554944","pia_usamah"
"1873185084137980140","Sun Dec 29 02:10:39 +0000 2024","0","@detiksumut_ @detikcom Ppn 12 % pbb 12 % stnk 12 % jalan rusak 120 % lah terus punya pemerintah untuk apaaa korupsi jalan terus pajak naik terus sembako naik terus hadehhh yukkk masuk kuburan bareng2 ","1873189862020681846","","detiksumut_","in","Kota Semarang, Jawa Tengah","0","0","0","https://x.com/my_dear_na3_7mi/status/1873189862020681846","1589115623770329088","my_dear_na3_7mi"
"1873096324750655799","Sun Dec 29 02:10:36 +0000 2024","0","@garudadidada10 Infrastruktur yang lebih baik berkat PPN 12%. #MakanBergiziBangunNegeri","1873189848821186696","","garudadidada10","in","","0","0","0","https://x.com/gaduh_ikhsansi/status/1873189848821186696","1710154227128160256","gaduh_ikhsansi"
"1873096324750655799","Sun Dec 29 02:10:35 +0000 2024","0","@garudadidada10 Dengan PPN 12% ekonomi semakin stabil. #MakanBergiziBangunNegeri","1873189844740129037","","garudadidada10","in","","0","0","0","https://x.com/ratih_whyun1/status/1873189844740129037","1703659875564421120","ratih_whyun1"
"1873189712862834717","Sun Dec 29 02:10:04 +0000 2024","0","Tutup aja semua Klub malam sekalian kalo alasannya itu.. Pecat dan adili polisi yang peras turis dong kalo niat jadi waras.","1873189712862834717","","","in","","0","0","0","https://x.com/Brahim_maldini/status/1873189712862834717","1543066357","Brahim_maldini"
"1873189685067170153","Sun Dec 29 02:09:57 +0000 2024","0","Tapi tiket kjj bulan feb belum bisa dipesen.. bakalan naik kah walopun ga kena ppn 12% ?","1873189685067170153","","","in","ㅅㄹㅈㄷ ","0","0","0","https://x.com/CCANOY_/status/1873189685067170153","87893257","CCANOY_"
